syntax-test-p,negative-syntax-test-p,query-evaluation-test-p,type,suite,collection,name,failedp,implementedp,parsing-succeeded-p,translation-succeeded-p,initialization-succeeded-p,rule-type,different-semantics-p,running-succeeded-p,comparing-succeeded-p
True,False,True,QueryEvaluationTest,data-r2,algebra,nested-opt-1,False,True,True,True,True,SELECT,True,True,True
True,False,True,QueryEvaluationTest,data-r2,algebra,nested-opt-2,False,True,True,True,True,SELECT,True,True,True
True,False,True,QueryEvaluationTest,data-r2,algebra,opt-filter-1,False,True,True,True,True,SELECT,True,True,True
True,False,True,QueryEvaluationTest,data-r2,algebra,opt-filter-2,False,True,True,True,True,SELECT,True,True,True
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-23,False,True,True,True,True,ASK,True,True,True
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-24,False,True,True,True,True,ASK,True,True,True
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-25,False,True,True,True,True,ASK,True,True,True
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-26,False,True,True,True,True,ASK,True,True,True
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-27,False,True,True,True,True,ASK,True,True,True
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-28,False,True,True,True,True,ASK,True,True,True
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-29,False,True,True,True,True,ASK,True,True,True
True,False,True,QueryEvaluationTest,data-r2,type-promotion,type-promotion-30,False,True,True,True,True,ASK,True,True,True
